hypothese,tickets,pct_base
Plancher — règles seules (retenu au notebook 13),3830,37.0
Estimation défendable — reliquat requalifié au seuil 65%,4006,38.7
"Borne haute absurde — tout le reliquat transactionnel, sans seuil",8079,78.0
Famille suivante (Erreur de saisie du client (mauvais bénéficiaire)),643,6.2
