ticket_type_name,groupe_A_pct,groupe_B_pct,ecart_pts
SARA,59.6,21.4,38.2
COMPTE,31.9,59.3,-27.4
BENEFICIAIRE ERRONE,4.7,12.1,-7.4
CARTE,1.3,1.6,-0.3
ACCUEIL,0.9,0.0,0.9
CREDIT,0.7,1.2,-0.5
OPERATIONS_INTERNATIONALES,0.4,0.9,-0.5
DECOUVERT,0.3,0.9,-0.6
CARTE_BLANCHE,0.1,0.9,-0.8
EFIRST,0.1,0.3,-0.2
JUSTIFS AVI,0.0,1.2,-1.2
