famille,libelle,responsable,effectif,pct
debit_non_credit,Débité sans que le bénéficiaire soit crédité,Système (banque <-> opérateur),4294,41.5
non_classe,Non classé par les règles,Indéterminé,3724,36.0
erreur_client,Erreur de saisie du client (mauvais bénéficiaire),UX de l'application,783,7.6
acces_otp,Accès bloqué / OTP / authentification,Système (authentification),701,6.8
debit_injustifie,"Débit injustifié, doublé, ou frais contestés",Système (banque),556,5.4
carte,Carte bancaire / distributeur,Système (monétique),206,2.0
demande_info,Demande d'information (pas une réclamation),Hors périmètre réclamation,83,0.8
