ticket_type_name,tickets,mediane,total
CREDIT,61,600000.0,92019674.0
OPERATIONS_INTERNATIONALES,32,290000.0,24228071.0
CARTE,87,115000.0,17475805.0
COMPTE,2417,51000.0,462152608.0
SARA,4348,41700.0,504972005.0
EFIRST,5,14000.0,97920.0
