channel,groupe_A_pct,groupe_B_pct,ecart_pts
android,69.4,61.4,7.9
ios,28.4,17.1,11.3
whatsapp,2.1,19.7,-17.6
facebook,0.1,1.7,-1.6
instagram,0.0,0.0,-0.0
