categorie,tickets,mediane,total
CREDIT,38,1040000.0,115036381.0
EFIRST,7,1000000.0,15300389.0
RECLAMATIONS_DIRECTION_GENERALE,2,366912.0,733823.0
SYSTAC_SYGMA,2,353270.0,706541.0
OPERATIONS_INTERNATIONALES,13,232544.0,6320771.0
COMPTE,303,225000.0,144159940.0
CARTE,1267,150000.0,319717383.0
AUTRE,86,145000.0,50686135.0
MAC,559,109000.0,147983899.0
SARA,3906,50000.0,607402473.0
