canal,effectif,pct
INTERCOM,3180,39.7
EN_AGENCE,2082,26.0
COURRIER,1031,12.9
APPEL,498,6.2
COLLEGUE,345,4.3
MAIL,305,3.8
AUTRE,301,3.8
WHATSAPP,258,3.2
